datetime;Level 101 (m);Level 102 (m);Level 103(m)
24/02/2024;0,6345;0,6482;0,9134
24/02/2024;0,634;0,6474;0,9129
24/02/2024;0,6344;0,6472;0,9131
24/02/2024;0,6341;0,6465;0,913
24/02/2024;0,6342;0,6463;0,9128
24/02/2024;0,6339;0,6455;0,9125
24/02/2024;0,6333;0,6451;0,9123
24/02/2024;0,6336;0,6447;0,9124
24/02/2024;0,6328;0,6437;0,9117
24/02/2024;0,6329;0,6436;0,9118
24/02/2024;0,633;0,6433;0,9121
24/02/2024;0,6329;0,6426;0,9118
24/02/2024;0,6335;0,6425;0,9123
24/02/2024;0,6325;0,6421;0,9117
24/02/2024;0,6325;0,6415;0,9116
24/02/2024;0,6325;0,6412;0,9116
24/02/2024;0,6321;0,6407;0,911
24/02/2024;0,6312;0,6401;0,9105
24/02/2024;0,6317;0,6398;0,9107
24/02/2024;0,6317;0,6393;0,9108
24/02/2024;0,631;0,6383;0,9104
24/02/2024;0,631;0,6382;0,9103
24/02/2024;0,6307;0,6381;0,9098
24/02/2024;0,6311;0,6377;0,9101
24/02/2024;0,6312;0,6374;0,9104
24/02/2024;0,6306;0,6365;0,9099
24/02/2024;0,6309;0,6368;0,9101
24/02/2024;0,6304;0,6358;0,9097
24/02/2024;0,6299;0,6349;0,9092
24/02/2024;0,6297;0,6347;0,9091
24/02/2024;0,6294;0,6344;0,9089
24/02/2024;0,6297;0,6344;0,9092
24/02/2024;0,6296;0,6342;0,9092
24/02/2024;0,6287;0,6333;0,9082
24/02/2024;0,6283;0,633;0,9081
24/02/2024;0,6285;0,633;0,9082
24/02/2024;0,6278;0,6326;0,9078
24/02/2024;0,6281;0,6325;0,9079
24/02/2024;0,6277;0,6319;0,9076
24/02/2024;0,6279;0,6318;0,9078
24/02/2024;0,6274;0,6313;0,9073
24/02/2024;0,627;0,631;0,907
24/02/2024;0,6263;0,6306;0,9067
24/02/2024;0,626;0,6297;0,9057
24/02/2024;0,6268;0,6297;0,9067
24/02/2024;0,6263;0,6296;0,9064
24/02/2024;0,6254;0,6287;0,9056
24/02/2024;0,6251;0,6283;0,9055
24/02/2024;0,6252;0,6278;0,9052
24/02/2024;0,6245;0,6276;0,9048
24/02/2024;0,6244;0,6271;0,9047
24/02/2024;0,6238;0,6264;0,904
24/02/2024;0,6241;0,6262;0,9043
24/02/2024;0,6227;0,6257;0,9035
24/02/2024;0,6224;0,6252;0,9029
24/02/2024;0,6221;0,6247;0,9024
24/02/2024;0,6216;0,6242;0,9022
24/02/2024;0,6207;0,6237;0,9013
24/02/2024;0,6208;0,623;0,901
24/02/2024;0,6206;0,6226;0,9007
24/02/2024;0,6208;0,6225;0,9009
24/02/2024;0,6204;0,6223;0,9008
24/02/2024;0,6199;0,6216;0,9003
24/02/2024;0,6197;0,6216;0,9001
24/02/2024;0,6191;0,6212;0,8994
24/02/2024;0,6194;0,6209;0,8997
24/02/2024;0,6181;0,6204;0,8984
24/02/2024;0,6187;0,6201;0,8988
24/02/2024;0,6181;0,6198;0,8981
24/02/2024;0,6171;0,6191;0,8971
24/02/2024;0,6177;0,619;0,8975
24/02/2024;0,6169;0,6185;0,8969
24/02/2024;0,617;0,6182;0,8971
24/02/2024;0,6168;0,6177;0,8968
24/02/2024;0,6167;0,6173;0,8966
24/02/2024;0,6164;0,6172;0,8965
24/02/2024;0,6162;0,6172;0,8962
24/02/2024;0,6157;0,6167;0,8961
24/02/2024;0,6152;0,6159;0,8953
24/02/2024;0,6151;0,616;0,8956
24/02/2024;0,6152;0,6159;0,8953
24/02/2024;0,6146;0,6153;0,8949
24/02/2024;0,6145;0,6151;0,8946
24/02/2024;0,6146;0,6149;0,8949
24/02/2024;0,6144;0,6145;0,8946
24/02/2024;0,6142;0,6143;0,8946
24/02/2024;0,6135;0,6138;0,8942
24/02/2024;0,6131;0,6134;0,8935
24/02/2024;0,6128;0,613;0,8932
24/02/2024;0,6127;0,6116;0,8929
24/02/2024;0,6125;0,6109;0,8927
24/02/2024;0,6117;0,61;0,8921
24/02/2024;0,6118;0,6099;0,8921
24/02/2024;0,6115;0,6094;0,8919
24/02/2024;0,6116;0,6094;0,8918
24/02/2024;0,6115;0,6089;0,8919
24/02/2024;0,6114;0,6089;0,8918
24/02/2024;0,6112;0,6085;0,8916
24/02/2024;0,6111;0,608;0,8917
24/02/2024;0,6104;0,6076;0,8912
24/02/2024;0,6102;0,6074;0,891
24/02/2024;0,6095;0,6066;0,8903
24/02/2024;0,6097;0,6065;0,8904
24/02/2024;0,6098;0,6063;0,8903
24/02/2024;0,6095;0,6064;0,8904
24/02/2024;0,6094;0,6059;0,8902
24/02/2024;0,6098;0,6061;0,8907
24/02/2024;0,6096;0,6059;0,8904
24/02/2024;0,61;0,606;0,8911
24/02/2024;0,6096;0,6059;0,8909
24/02/2024;0,6093;0,6055;0,8903
24/02/2024;0,6096;0,6056;0,8905
24/02/2024;0,6095;0,6053;0,8904
24/02/2024;0,609;0,605;0,8903
24/02/2024;0,6094;0,6049;0,8903
24/02/2024;0,6093;0,6053;0,8905
24/02/2024;0,6094;0,6052;0,8908
24/02/2024;0,6101;0,6054;0,8909
24/02/2024;0,6092;0,6049;0,8907
24/02/2024;0,6093;0,6044;0,8904
24/02/2024;0,6092;0,6041;0,8902
24/02/2024;0,6085;0,6039;0,8899
24/02/2024;0,6085;0,6033;0,8898
24/02/2024;0,6081;0,6032;0,8894
24/02/2024;0,6078;0,6027;0,8892
24/02/2024;0,6077;0,6023;0,8891
24/02/2024;0,6074;0,6018;0,8888
24/02/2024;0,6072;0,6017;0,8888
24/02/2024;0,6071;0,6011;0,8887
24/02/2024;0,6074;0,6014;0,8889
25/02/2024;0,6075;0,6012;0,889
25/02/2024;0,6077;0,6009;0,8891
25/02/2024;0,6073;0,6008;0,8888
25/02/2024;0,607;0,6005;0,8886
25/02/2024;0,6069;0,6003;0,8886
25/02/2024;0,6067;0,6;0,8885
25/02/2024;0,6065;0,5996;0,8881
25/02/2024;0,6066;0,5996;0,8885
25/02/2024;0,6065;0,5996;0,8885
25/02/2024;0,6064;0,5995;0,8883
25/02/2024;0,6058;0,5989;0,8878
25/02/2024;0,606;0,5986;0,888
25/02/2024;0,6057;0,5981;0,8877
25/02/2024;0,6059;0,5979;0,8877
25/02/2024;0,6049;0,5971;0,8871
25/02/2024;0,6054;0,5973;0,8876
25/02/2024;0,6051;0,5968;0,8871
25/02/2024;0,6052;0,5967;0,8873
25/02/2024;0,6047;0,5962;0,8869
25/02/2024;0,6044;0,596;0,8866
25/02/2024;0,6049;0,5961;0,887
25/02/2024;0,6047;0,5957;0,8869
25/02/2024;0,6041;0,5952;0,8864
25/02/2024;0,604;0,5951;0,8865
25/02/2024;0,6035;0,5946;0,886
25/02/2024;0,6044;0,595;0,8865
25/02/2024;0,604;0,5947;0,8865
25/02/2024;0,6034;0,5941;0,8858
25/02/2024;0,6034;0,5938;0,8859
25/02/2024;0,6035;0,594;0,8862
25/02/2024;0,6032;0,5936;0,8857
25/02/2024;0,6028;0,5933;0,8855
