time_hours,LTC 1 (x=8.0m)_elevation_m,LTC 2 (x=10.0m)_elevation_m,LTC 3 (x=12.5m)_elevation_m,LTC 1 (x=8.0m)_depth_m,LTC 2 (x=10.0m)_depth_m,LTC 3 (x=12.5m)_depth_m
66.0,1.199961065890123,1.199958932578128,1.1999623754769135,3.8000389341098773,3.800041067421872,3.8000376245230862
66.5,1.1999614861718941,1.1999593786588298,1.1999627779163862,3.800038513828106,3.80004062134117,3.800037222083614
67.0,1.1999616974579865,1.1999596024721548,1.1999629796210856,3.8000383025420135,3.8000403975278454,3.800037020378914
67.5,1.199961938875536,1.1999598584554128,1.1999632105706493,3.800038061124464,3.8000401415445872,3.8000367894293507
68.0,1.199962196898554,1.199960132031118,1.199963457489086,3.800037803101446,3.800039867968882,3.800036542510914
68.5,1.199962461587317,1.1999604126175023,1.199963710850612,3.800037538412683,3.8000395873824977,3.800036289149388
69.0,1.1999627275601912,1.1999606944944108,1.1999639655104122,3.800037272439809,3.800039305505589,3.8000360344895876
69.5,1.1999629927836908,1.1999609755028644,1.1999642195239633,3.800037007216309,3.800039024497136,3.800035780476037
70.0,1.1999632564356284,1.1999612547722862,1.1999644721036618,3.8000367435643714,3.800038745227714,3.8000355278963385
70.5,1.1999635181643389,1.1999615319324675,1.1999647229109318,3.800036481835661,3.8000384680675325,3.8000352770890684
71.0,1.1999637778087457,1.1999618068158546,1.1999649717891065,3.8000362221912543,3.8000381931841454,3.8000350282108935
71.5,1.19996403529472,1.1999620793472938,1.199965218664541,3.80003596470528,3.800037920652706,3.8000347813354587
72.0,1.1999642905905983,1.1999623494966976,1.1999654635041874,3.8000357094094017,3.8000376505033024,3.8000345364958124
72.5,1.1999645436870747,1.1999626172576388,1.199965706296419,3.8000354563129255,3.800037382742361,3.8000342937035807
73.0,1.1999647945872973,1.199962882636803,1.1999659470415887,3.8000352054127027,3.800037117363197,3.800034052958411
73.5,1.1999650433017048,1.199963145648488,1.1999661857471062,3.800034956698295,3.8000368543515117,3.8000338142528935
74.0,1.199965289845174,1.1999634063115645,1.199966422424719,3.8000347101548257,3.8000365936884357,3.800033577575281
74.5,1.1999655342353608,1.1999636646477105,1.1999666570889298,3.8000344657646394,3.8000363353522895,3.80003334291107
75.0,1.1999657764916956,1.1999639206803443,1.1999668897560363,3.8000342235083044,3.8000360793196557,3.8000331102439637
75.5,1.1999660166347494,1.1999641744339509,1.1999671204435243,3.8000339833652506,3.800035825566049,3.8000328795564755
76.0,1.1999662546858203,1.1999644259336488,1.19996734916967,3.8000337453141797,3.800035574066351,3.80003265083033
76.5,1.1999664906666563,1.1999646752049005,1.199967575953273,3.8000335093333435,3.8000353247950995,3.800032424046727
77.0,1.1999667245992658,1.199964922273315,1.1999678008134709,3.800033275400734,3.800035077726685,3.8000321991865293
77.5,1.1999669565057836,1.1999651671645126,1.1999680237696073,3.8000330434942162,3.8000348328354874,3.8000319762303927
78.0,1.1999671864083743,1.199965409904029,1.1999682448411362,3.800032813591626,3.8000345900959713,3.800031755158864
78.5,1.1999674143291628,1.199965650517245,1.1999684640475514,3.800032585670837,3.800034349482755,3.8000315359524484
79.0,1.1999676402901809,1.1999658890293396,1.1999686814083335,3.800032359709819,3.8000341109706604,3.8000313185916665
79.5,1.1999678643133298,1.199966125465253,1.1999688969429072,3.80003213568667,3.800033874534747,3.800031103057093
80.0,1.1999680864203481,1.1999663598496588,1.19996911067061,3.8000319135796516,3.800033640150341,3.80003088932939
80.5,1.1999683066327902,1.1999665922069473,1.199969322610667,3.8000316933672096,3.8000334077930527,3.800030677389333
81.0,1.199968524972007,1.199966822561209,1.1999695327821693,3.800031475027993,3.8000331774387908,3.8000304672178307
81.5,1.1999687414591322,1.199967050936226,1.1999697412040593,3.8000312585408675,3.800032949063774,3.8000302587959407
82.0,1.1999689561150724,1.1999672773554637,1.1999699478951151,3.8000310438849274,3.800032722644536,3.800030052104885
82.5,1.199969168960497,1.1999675018420672,1.1999701528739424,3.800030831039503,3.8000324981579325,3.8000298471260576
83.0,1.1999693800158322,1.199967724418857,1.1999703561589627,3.8000306199841676,3.800032275581143,3.8000296438410373
83.5,1.1999695893012565,1.1999679451083283,1.1999705577684088,3.8000304106987435,3.8000320548916715,3.8000294422315912
84.0,1.1999697968366965,1.1999681639326505,1.1999707577203171,3.8000302031633035,3.8000318360673493,3.800029242279683
84.5,1.1999700026418245,1.1999683809136679,1.1999709560325242,3.8000299973581755,3.800031619086332,3.8000290439674758
85.0,1.1999702067360574,1.1999685960729005,1.199971152722663,3.800029793263943,3.8000314039270995,3.800028847277337
85.5,1.1999704091385541,1.1999688094315466,1.1999713478081597,3.800029590861446,3.800031190568453,3.8000286521918403
86.0,1.1999706098682184,1.1999690210104852,1.1999715413062317,3.8000293901317814,3.800030978989515,3.8000284586937685
86.5,1.1999708089436958,1.1999692308302785,1.1999717332338875,3.8000291910563044,3.8000307691697213,3.8000282667661125
87.0,1.199971006383377,1.1999694389111764,1.199971923607924,3.800028993616623,3.800030561088824,3.800028076392076
87.5,1.1999712022053985,1.1999696452731186,1.1999721124449276,3.8000287977946012,3.800030354726881,3.800027887555072
88.0,1.1999713964276433,1.1999698499357396,1.199972299761274,3.8000286035723567,3.80003015006426,3.8000277002387257
88.5,1.199971589067744,1.1999700529183723,1.1999724855731284,3.800028410932256,3.8000299470816277,3.800027514426872
89.0,1.1999717801430845,1.1999702542400523,1.1999726698964466,3.8000282198569155,3.8000297457599475,3.8000273301035534
89.5,1.1999719696708022,1.1999704539195222,1.1999728527469757,3.800028030329198,3.800029546080478,3.800027147253024
90.0,1.1999721576677909,1.1999706519752356,1.199973034140256,3.8000278423322094,3.8000293480247644,3.800026965859744
90.5,1.1999723441507033,1.1999708484253628,1.1999732140916215,3.8000276558492967,3.800029151574637,3.8000267859083783
91.0,1.1999725291359549,1.199971043287794,1.199973392616203,3.800027470864045,3.800028956712206,3.800026607383797
91.5,1.1999727126397246,1.1999712365801445,1.1999735697289295,3.800027287360275,3.8000287634198555,3.8000264302710702
92.0,1.199972894677961,1.1999714283197593,1.1999737454445287,3.800027105322039,3.8000285716802407,3.8000262545554713
92.5,1.1999730752663829,1.1999716185237181,1.1999739197775319,3.800026924733617,3.800028381476282,3.800026080222468
93.0,1.1999732544204835,1.1999718072088383,1.199974092742273,3.8000267455795163,3.800028192791162,3.800025907257727
93.5,1.199973432155534,1.1999719943916816,1.1999742643528943,3.800026567844466,3.8000280056083184,3.8000257356471057
94.0,1.1999736084865864,1.1999721800885568,1.1999744346233456,3.8000263915134136,3.8000278199114432,3.8000255653766546
94.5,1.1999737834284772,1.199972364315526,1.1999746035673888,3.800026216571523,3.800027635684474,3.800025396432611
95.0,1.1999739569958296,1.1999725470884073,1.1999747711985995,3.8000260430041704,3.8000274529115927,3.8000252288014007
95.5,1.1999741292030588,1.1999727284227804,1.1999749375303692,3.800025870796941,3.8000272715772194,3.800025062469631
96.0,1.1999743000643732,1.1999729083339903,1.1999751025759087,3.8000256999356266,3.80002709166601,3.800024897424091
96.5,1.1999744695937795,1.1999730868371519,1.1999752663482501,3.8000255304062205,3.8000269131628484,3.8000247336517496
97.0,1.1999746378050844,1.1999732639471543,1.1999754288602493,3.8000253621949156,3.8000267360528457,3.8000245711397507
97.5,1.1999748047118994,1.199973439678665,1.1999755901245885,3.8000251952881006,3.800026560321335,3.8000244098754115
98.0,1.1999749703276426,1.199973614046133,1.1999757501537798,3.8000250296723577,3.800026385953867,3.8000242498462202
98.5,1.1999751346655427,1.1999737870637945,1.1999759089601656,3.800024865334457,3.8000262129362055,3.8000240910398344
99.0,1.1999752977386422,1.199973958745676,1.1999760665559236,3.800024702261358,3.8000260412543243,3.800023933444076
99.5,1.1999753563917501,1.19997402039799,1.199976123035326,3.80002464360825,3.80002597960201,3.8000238769646737
100.0,1.1999755386276592,1.1999742123339374,1.1999762993081244,3.800024461372341,3.800025787666063,3.8000237006918756
100.5,1.1999757059828802,1.199974388530337,1.1999764610801413,3.8000242940171196,3.800025611469663,3.8000235389198584
101.0,1.199975764649687,1.199974450196631,1.1999765175808697,3.800024235350313,3.800025549803369,3.8000234824191303
101.5,1.1999759476287128,1.1999746429165554,1.19997669460406,3.8000240523712874,3.8000253570834444,3.80002330539594
102.0,1.1999761141316374,1.1999748182142465,1.1999768555775516,3.8000238858683626,3.8000251817857533,3.8000231444224486
102.5,1.1999761721870377,1.1999748792373728,1.1999769114980434,3.8000238278129626,3.800025120762627,3.8000230885019564
103.0,1.1999763534726022,1.199975070172702,1.1999770869109778,3.8000236465273978,3.800024929827298,3.8000229130890224
103.5,1.1999764114636784,1.199975131130569,1.199977142776354,3.8000235885363214,3.800024868869431,3.800022857223646
104.0,1.1999765952507229,1.1999753247092433,1.1999773206338422,3.800023404749277,3.8000246752907567,3.800022679366158
104.5,1.1999766531666054,1.19997538558848,1.1999773764302948,3.8000233468333944,3.80002461441152,3.8000226235697054
105.0,1.1999768369948913,1.1999755792141276,1.1999775543438362,3.8000231630051085,3.8000244207858724,3.8000224456561638
105.5,1.1999768946140847,1.1999756397821106,1.1999776098587989,3.8000231053859155,3.8000243602178894,3.8000223901412014
106.0,1.1999770776818401,1.1999758326094376,1.1999777870518809,3.80002292231816,3.8000241673905624,3.800022212948119
106.5,1.1999771349159745,1.1999758927732316,1.1999778422003096,3.8000228650840255,3.8000241072267684,3.8000221577996904
107.0,1.199977316865647,1.1999760844251603,1.1999780183263544,3.800022683134353,3.8000239155748394,3.8000219816736456
107.5,1.1999773736618617,1.1999761441291776,1.1999780730573286,3.800022626338138,3.8000238558708226,3.800021926942671
108.0,1.199977554291618,1.1999763343928938,1.199978247920575,3.800022445708382,3.8000236656071062,3.800021752079425
108.5,1.1999776106152407,1.1999763936006829,1.1999783022006352,3.8000223893847593,3.800023606399317,3.800021697799365
109.0,1.1999777897942439,1.1999765823382824,1.1999784756740124,3.800022210205756,3.8000234176617176,3.8000215243259876
109.5,1.1999778456210815,1.1999766410244261,1.199978529479756,3.8000221543789188,3.800023358975574,3.800021470520244
110.0,1.1999780232584762,1.199976828140212,1.199978701474846,3.8000219767415238,3.800023171859788,3.800021298525154
110.5,1.1999780785712764,1.1999768862866058,1.1999787547895269,3.8000219214287236,3.800023113713394,3.8000212452104734
111.0,1.1999782546021196,1.1999770717122444,1.199978925242945,3.8000217453978804,3.8000229282877553,3.800021074757055
111.5,1.1999783093886016,1.1999771293060237,1.1999789780545826,3.8000216906113984,3.8000228706939763,3.800021021945417
112.0,1.199978483766265,1.1999773129925277,1.1999791469206347,3.800021516233735,3.8000226870074725,3.8000208530793653
112.5,1.1999785380178856,1.199977370024767,1.1999791992208335,3.8000214619821144,3.800022629975233,3.8000208007791665
113.0,1.1999785950096833,1.1999774300063806,1.1999792542886412,3.800021404990317,3.8000225699936196,3.800020745711359
113.5,1.1999787800565735,1.1999776249678533,1.1999794335351426,3.8000212199434262,3.800022375032147,3.800020566464857
114.0,1.199978834393237,1.1999776820898578,1.1999794859155506,3.800021165606763,3.800022317910142,3.8000205140844496
114.5,1.1999788912185183,1.1999777419009394,1.199979540828328,3.8000211087814817,3.8000222580990606,3.800020459171672
115.0,1.1999790768659941,1.1999779375081567,1.1999797206731349,3.8000209231340056,3.800022062491843,3.800020279326865
115.5,1.1999791308569532,1.1999779942691609,1.1999797727236057,3.800020869143047,3.800022005730839,3.800020227276394
116.0,1.19997918725002,1.1999780536290454,1.1999798272236346,3.80002081274998,3.8000219463709546,3.8000201727763656
116.5,1.1999793717298917,1.1999782480171413,1.1999800059528851,3.8000206282701083,3.8000217519828587,3.8000199940471147
117.0,1.199979425215159,1.1999783042490373,1.1999800575196726,3.800020574784841,3.8000216957509627,3.8000199424803274
117.5,1.1999794810544964,1.1999783630294767,1.19998011148917,3.8000205189455034,3.8000216369705235,3.80001988851083
118.0,1.1999796638476998,1.1999785556507587,1.1999802885993376,3.8000203361523,3.800021444349241,3.8000197114006626
118.5,1.1999797167581572,1.1999786112808353,1.199980339615847,3.800020283241843,3.8000213887191645,3.800019660384153
119.0,1.199979771983159,1.1999786694178411,1.1999803929960153,3.800020228016841,3.800021330582159,3.8000196070039847
119.5,1.1999799528418198,1.1999788600106227,1.1999805682463198,3.8000200471581804,3.8000211399893775,3.80001943175368
120.0,1.1999800051379486,1.199978914997273,1.1999806186743693,3.800019994862051,3.8000210850027267,3.8000193813256304
120.5,1.1999800597123707,1.199978972452547,1.1999806714299632,3.8000199402876293,3.8000210275474533,3.8000193285700368
121.0,1.1999801153154974,1.199979031010611,1.1999807252050314,3.8000198846845024,3.800020968989389,3.800019274794969
