Time (d);LTC 101;LTC 102;LTC 103
25.200000000000003;1.3163976107606408;1.3209952845938606;1.2965417956230603
25.299999999999997;1.3195361762948783;1.3242676819935022;1.2992167443908176
25.4;1.3225432623201046;1.327423216756564;1.3018568641598123
25.5;1.3253319017294807;1.330365976892326;1.3044021553857412
25.599999999999998;1.3279137691975695;1.3331010365617486;1.3068380582154484
25.700000000000003;1.330263848962132;1.335600112634438;1.309137749986319
25.799999999999997;1.3323517683635335;1.3378302414139416;1.3112689049233806
25.9;1.3341606860449615;1.3397741377834753;1.3132096274324228
26;1.3356791386006914;1.3414213978313518;1.314942587361956
26.099999999999998;1.3368970996487182;1.3427626214357955;1.3164530073350489
26.200000000000003;1.337807491574717;1.3437891835710312;1.3177286269446464
26.299999999999997;1.3384032897521803;1.3444892055089301;1.318755919716014
26.4;1.3386274072640985;1.3447950088416667;1.3194785082773324
26.5;1.3385822235604306;1.3448104652306259;1.3199738400778431
26.599999999999998;1.3382298444295737;1.344490898833554;1.3202036396420767
26.700000000000003;1.3375611237298488;1.3438219399832394;1.3201532979023678
26.799999999999997;1.3365639131510696;1.3427832717654715;1.3198056176794941
26.9;1.3352534746830467;1.3413830562047548;1.3191709134547678
27;1.3336087193301738;1.3395866316920864;1.3182290488123807
27.099999999999998;1.3316256029859328;1.3373830612428;1.3169697818347788
27.200000000000003;1.3293278383564069;1.3348147420075733;1.3154029988795048
27.299999999999997;1.3267738501528166;1.3319771713523352;1.3135698456682368
27.4;1.3240330344503055;1.3289657112644981;1.3115271439783422
27.5;1.3211708222919736;1.3258574415033353;1.3093343523578227
27.599999999999998;1.318233154228169;1.3227078454593997;1.3070333417088786
27.700000000000003;1.3152707630784235;1.3195731645774336;1.3046715332909429
27.799999999999997;1.312320322115857;1.316481381247316;1.302281244507985
27.9;1.3093913964548172;1.3134258635229743;1.2998791483333056
28;1.3064842121297107;1.3103988138142026;1.297471816768385
28.099999999999998;1.30360189555182;1.3074015938027268;1.2950640844722845
28.200000000000003;1.3007500658585631;1.304440736032139;1.2926627384075955
28.299999999999997;1.297934041212289;1.301522131485064;1.290275219210841
28.4;1.2951651355048017;1.2986588628230555;1.287910959734303
28.5;1.2924417120380056;1.2958503378265755;1.2855727379491937
28.599999999999998;1.289775631582674;1.293107500271643;1.283270126319698
28.700000000000003;1.2871741887818666;1.2904305006512395;1.2810093207653457
28.799999999999997;1.2846223446937606;1.2878020787310305;1.2787812415566842
28.9;1.282123648145953;1.2852265836363708;1.27658885064291
29;1.2796851487327177;1.282711526809246;1.2744373366994919
29.099999999999998;1.2773120183534818;1.2802622042419847;1.2723307198404965
29.200000000000003;1.275010709842254;1.2778859583901576;1.2702758879207943
29.299999999999997;1.2727569591221883;1.2755585156860947;1.2682565955640757
29.4;1.2705574954059597;1.2732870542515615;1.2662789113745865
29.5;1.268417461549962;1.2710771368334688;1.264348012159591
29.599999999999998;1.266330218313638;1.2689220774638912;1.2624592815679134
29.700000000000003;1.2643040976590767;1.2668306834241012;1.2606200473125968
29.799999999999997;1.2623367681504638;1.264800521112264;1.2588291196224688
29.9;1.2604509120734775;1.2628548551772596;1.2571060422150089
30;1.2586153657879577;1.2609611454135745;1.2554252457152957
30.099999999999998;1.2568122244972015;1.2591008603011442;1.2537717870632983
30.200000000000003;1.2550643468868536;1.2572974667174017;1.2521653158302277
30.299999999999997;1.2533757719429026;1.2555548181063643;1.2506096596478278
30.4;1.251739877385641;1.2538658483599603;1.249099480815621
30.5;1.250144387486839;1.2522179845080785;1.2476244608882041
30.599999999999998;1.248601083981691;1.2506231694726184;1.2461950963445751
30.700000000000003;1.247110227453221;1.2490819194280973;1.2448113850684877
30.799999999999997;1.2456557542638882;1.247577925709499;1.2434592449680286
30.9;1.244249930592792;1.2461237273055248;1.2421496224550326
31;1.2428812943463339;1.244707588373578;1.2408729072555644
31.099999999999998;1.241553128915515;1.2433329074459325;1.2396324167716435
31.200000000000003;1.2402652577946462;1.2419994788526447;1.2384282733981464
31.299999999999997;1.2390185686530606;1.2407081506570916;1.2372614645666429
31.4;1.2378135859664627;1.2394594258671836;1.2361325650068384
31.5;1.2366477463554955;1.2382507407492842;1.2350392425086494
31.599999999999998;1.2355197378691531;1.2370808221506058;1.2339802743502097
31.700000000000003;1.2344296881047374;1.235949844362256;1.2329557717732726
31.799999999999997;1.2333704891890045;1.234850574692027;1.2319592954702359
31.9;1.2323324391224106;1.2337730872600046;1.2309820450910314
32;1.2313268056060347;1.2327292083138877;1.2300343592005893
32.1;1.230355896561411;1.2317222423021648;1.2291187407249797
32.2;1.2294137224768058;1.2307462135168914;1.2282299371377396
32.300000000000004;1.228501500453331;1.2298022055238158;1.227369137727955
32.4;1.2276186448315427;1.2288894011820963;1.2265357927734177
32.5;1.2267655496369023;1.2280080899541497;1.2257302930498233
32.6;1.2259415304259973;1.2271571850456942;1.2249519318209836
32.7;1.2251503139059352;1.226339569611827;1.2242038766215684
32.800000000000004;1.2243857793818418;1.2255481894495677;1.2234801222539826
32.9;1.2236450623460762;1.2247799877779058;1.2227779154448297
33;1.222926926415932;1.2240338043444756;1.222096116270343
33.1;1.2222303311299818;1.2233087676879129;1.2214338253282688
33.2;1.2215543897332009;1.2226041770634408;1.2207902988832038
33.300000000000004;1.2208994255235297;1.2219205418057528;1.220165907336277
33.4;1.2202631069701655;1.2212556941786301;1.2195585943035405
33.5;1.2196455105992998;1.2206098685842373;1.2189685111130546
33.6;1.2190421787792924;1.2199786203179304;1.2183915987742273
33.7;1.2184567762216656;1.2193657907076185;1.2178312959693944
33.800000000000004;1.2178896263058296;1.2187712816619831;1.2172873601448506
33.9;1.2173472925584032;1.2181986297915441;1.2167611210718745
34;1.2168585995772834;1.217685025830323;1.2162643180928365
34.1;1.2165074530931135;1.2173606027352808;1.2158497209676777
34.2;1.2163995931148535;1.2173701050084664;1.2156015585845628
34.300000000000004;1.216646294329964;1.2178374389052067;1.215620240560992
34.4;1.2173247916422432;1.2188351754110904;1.2159813734222134
34.5;1.21835757385098;1.2202358404205829;1.2166335534115387
34.6;1.2196773345715088;1.2219403916533498;1.2175268120355554
34.7;1.221286052699006;1.2239219658018836;1.2186692922242115
34.800000000000004;1.2231284052959877;1.2260966573422094;1.2200217468942418
34.9;1.2251201914236292;1.2283567926581556;1.221523466052845
35;1.2271343059601083;1.230539123380976;1.2230835736195222
35.1;1.2290110930078908;1.2324425285960923;1.2245787263508896
35.2;1.230621857852819;1.2339333144994316;1.2258983613254177
35.300000000000004;1.2318812541929975;1.2349664037242862;1.226962090201716
35.4;1.2328240129337156;1.2356458002999453;1.227784924214893
35.5;1.2335056946247127;1.2360660143459727;1.2284047493319026
35.6;1.2339564407455252;1.2362767952643858;1.2288431919299858
35.7;1.234212061668136;1.236317604208203;1.2291288959745452
35.800000000000004;1.2342942094686074;1.2362066578460345;1.229279580748473
35.9;1.2342243627382186;1.2359632924210289;1.2293110906842655
36;1.2340262665871542;1.2356106158696676;1.229239761784221
36.1;1.233722691923952;1.2351705118785377;1.2290813832003247
36.2;1.2333238576532481;1.2346529267441977;1.2288426130289183
36.300000000000004;1.2328474767312905;1.2340740221391675;1.228536082847092
36.4;1.2323076278444365;1.233447169951262;1.2281717142103785
36.5;1.2317242167221456;1.232789477984299;1.2277656198045845
36.6;1.231105186747765;1.232108525786679;1.2273232439252848
36.7;1.2304591845554158;1.231413624877824;1.2268495991010984
36.800000000000004;1.2298002126781375;1.2307164461428994;1.2263563463863898
36.9;1.2291344615435644;1.2300206243018394;1.225850114290257
37;1.2284650982353302;1.2293269744179076;1.2253357254976718
37.1;1.2277941609128378;1.2286376704132704;1.2248146325650413
37.2;1.227123872915751;1.2279521351801626;1.224290147202877
37.300000000000004;1.2264562136757993;1.2272710286874302;1.2237623575298475
37.4;1.225791603062392;1.226593302252381;1.2232325801036719
37.5;1.2251307517194483;1.225919355019516;1.2227015417895435
37.6;1.2244758857286602;1.225251401438656;1.2221701491772998
37.7;1.223827882661647;1.2245904651210775;1.2216398479770063
37.800000000000004;1.2231878207176783;1.2239377168237713;1.221111892559013
37.9;1.222556686583032;1.2232941866043898;1.2205874438960065
38;1.2219362410325159;1.222661701906859;1.2200680313715908
38.1;1.2213266815242625;1.222040462733407;1.219554423980396
38.2;1.2207277910078833;1.221430239639847;1.2190469616390427
38.300000000000004;1.220143218064533;1.2208348009318064;1.218548325861298
38.400000000000006;1.219570228730898;1.220251299882648;1.2180572014278486
38.5;1.2190101664535362;1.219681096564196;1.2175747739746738
38.6;1.218463899595488;1.2191254317581681;1.217101758319629
38.7;1.2179341147490075;1.218587354960233;1.216640019178705
38.800000000000004;1.2174201434809166;1.2180656520532365;1.2161892946580524
38.900000000000006;1.2169243307615865;1.2175622368328989;1.2157513358659318
39;1.2164449030883626;1.2170748573637793;1.2153256687876033
39.1;1.2159789620005839;1.2166004536205122;1.2149109533560087
39.2;1.2155252524520133;1.216137849718276;1.2145065858854662
39.300000000000004;1.2150856600993098;1.215689027468323;1.2141142769618771
39.400000000000006;1.2146611839269708;1.21525504734468;1.2137347385118955
39.5;1.2142409627604829;1.2148252458506226;1.2133587665097458
39.6;1.213831468861929;1.214405964350691;1.2129917305958458
39.7;1.2134325883902337;1.2139970440212091;1.2126334390407116
39.800000000000004;1.2130432647230014;1.2135974057599916;1.2122829502313637
39.900000000000006;1.2126635740648115;1.2132070984505905;1.2119402807217934
40;1.2122936868967997;1.2128262863875328;1.211605557550322
40.1;1.211933474665828;1.212454869115427;1.2112786741296018
40.2;1.2115827168809659;1.2120926992568268;1.2109594829671868
40.300000000000004;1.2112412061172482;1.2117396596491554;1.2106478715346733
40.400000000000006;1.2109087550534774;1.2113956413083367;1.2103437491284057
40.5;1.210585245834885;1.2110605682927318;1.2100470598516917
40.6;1.2102706170537412;1.2107344287763404;1.2097578068881152
40.7;1.2099646496531713;1.2104169900262784;1.209475803469756
40.800000000000004;1.2096731878056681;1.2101113911659744;1.209202520992463
40.900000000000006;1.2094470295039248;1.20986891048814;1.2089610515675384
41;1.2094529107391132;1.209905992978433;1.2088478475135866
41.1;1.2099802999416929;1.2106058894592626;1.2090502481587233
41.2;1.2113189397315585;1.2122870010345104;1.209778111756121
41.300000000000004;1.213632487627516;1.2150049551815878;1.2111671221927196
41.400000000000006;1.2168405025026985;1.2185950516003692;1.213188369403974
41.5;1.2210099663969658;1.2231599005849585;1.2159110472255128
41.6;1.2262306209166791;1.2289413950133483;1.2194167431533458
41.7;1.2326214241440425;1.236047554937767;1.2238114031260225
41.800000000000004;1.2403589480830168;1.244605518838169;1.2292183141842055
41.900000000000006;1.2495060551551782;1.2545855438817626;1.2357288663369068
42;1.2596026419954127;1.2653552395562162;1.2431781703779612
42.1;1.2699494269359437;1.2762763924011138;1.2509764023175691
42.2;1.2801581067498542;1.2868765829729423;1.259014407536107
42.300000000000004;1.2897749980378388;1.2967392649486758;1.2668826170711869
42.400000000000006;1.298648771329108;1.305747136580969;1.274383016704287
42.5;1.3067375697132293;1.3138812956134345;1.2814302884243218
42.6;1.314301532421947;1.3214374878092707;1.2881610241159878
42.7;1.3206615643018595;1.3277285420475031;1.294090392064865
42.800000000000004;1.3261638076536926;1.3331546058676869;1.299402422237146
42.900000000000006;1.3309155590121244;1.3378401144261647;1.304134133272256
43;1.334706726642948;1.3415915944225747;1.3080583117592326
43.099999999999994;1.338497894273772;1.3453430744189847;1.3119824902462096
43.2;1.341583136210821;1.34841507441178;1.3152491476128894
43.300000000000004;1.3446349922000862;1.3514549391754416;1.3184847082706905
43.400000000000006;1.347465624688814;1.3542829123791653;1.3215018061518522
43.5;1.3500899872013965;1.3569149277171983;1.3243078599298082
43.599999999999994;1.3525304476900377;1.3593741618034207;1.326918235084788
43.7;1.3548277318358297;1.361700581430693;1.3293739375944034
43.800000000000004;1.356964513371514;1.3638806164977668;1.3316622711934742
43.900000000000006;1.3589631358365193;1.3659354225120923;1.3338191542163023
44;1.3607684360713252;1.3678120606669457;1.3358125433275008
44.099999999999994;1.3623875909966208;1.3695118134821995;1.337661952903934
44.2;1.3637545778026712;1.3709629566259816;1.3393243282394993
44.300000000000004;1.3648214557593532;1.3721072461146255;1.3407650568848417
44.400000000000006;1.3655502605449554;1.3728969094892887;1.3419509270425545
44.5;1.3659177043227062;1.3733049132987547;1.342854994972913
44.599999999999994;1.3659217765134837;1.3733333859005727;1.3434651511837645
44.7;1.3655764385501319;1.3730025979859255;1.343782668332449
44.800000000000004;1.3649059315828171;1.3723398413243795;1.3438173525397685
44.900000000000006;1.3639314489950085;1.371364669742511;1.3435792793165804
45;1.3626722118267944;1.370092398153564;1.343077567285884
45.099999999999994;1.36114507110363;1.3685335190709869;1.3423194378933605
45.2;1.3593589090876377;1.366690006996703;1.3413074410421757
45.300000000000004;1.3573166586579843;1.3645562955231987;1.340040431298327
45.400000000000006;1.3550120667524441;1.3621133290918281;1.3385115210343772
45.5;1.3524308672082623;1.3593328408641714;1.336709445916642
45.599999999999994;1.3495662005463187;1.3562054828081094;1.3346283760520057
45.7;1.3464428502973573;1.3527787192872618;1.3322855421750448
45.800000000000004;1.34312039042242;1.3491468752518068;1.3297259142642348
45.900000000000006;1.3396650970667185;1.3453988496745453;1.3270041911231092
46;1.336131562147694;1.3415982709662553;1.3241687539714686
46.099999999999994;1.3325627755452276;1.3377923778265404;1.3212561057437575
46.2;1.3289923162777904;1.334008411884904;1.3183069069478799
46.300000000000004;1.3254406722215428;1.3302648262453118;1.3153427644709252
46.400000000000006;1.321925055295414;1.3265772853759799;1.3123809536329072
46.5;1.3184574166817031;1.3229542857154095;1.3094355563504785
46.599999999999994;1.3150620656892553;1.3194191000287228;1.3065247798796025
46.7;1.3117577663067157;1.3159873305087386;1.3036653566358876
46.800000000000004;1.3084834240761563;1.3125891342403735;1.3008236951009104
46.900000000000006;1.3052818524153487;1.3092712477885737;1.2980271624233042
47;1.3021479951642296;1.306027059583917;1.2952750473598862
47.099999999999994;1.2990917417156675;1.3028666073827198;1.2925765446490145
47.2;1.2961120967021535;1.2997900738318415;1.2899351823132832
47.300000000000004;1.2932278960463106;1.2968213710802263;1.2873720017892583
47.400000000000006;1.2904238486297073;1.29393943060838;1.2848733032335886
47.5;1.287690602985888;1.2911309841352774;1.282429526479188
47.599999999999994;1.2850363718883473;1.2884027163523797;1.2800463363818773
47.7;1.2824604067810041;1.2857530389779475;1.2777233142180846
47.800000000000004;1.279959090301461;1.2831784039408216;1.2754584719910946
47.900000000000006;1.2775290308039742;1.2806757473007264;1.2732501656212365
48;1.2751656345620968;1.2782406730456601;1.2710955891558902
48.099999999999994;1.2728766881824516;1.2758813457786198;1.26900211693798
48.2;1.2706568615066571;1.2735922484845095;1.2669660274712224
48.300000000000004;1.2685019003140614;1.2713688730465724;1.2649843047698972
48.400000000000006;1.2664129239312498;1.269212129515232;1.2630583306563334
48.5;1.264397006332074;1.267129141363034;1.2611945643770885
